,sideefect
1228,pseudobulbar palsy
1229,postictal paralysis
1230,stenotrophomonas infection
1233,onychogryphosis
1234,legionella serology positive
1235,appendix adenoma
1236,implant site haematoma
1237,benign hepatobiliary neoplasm
1238,diabetic dermopathy
1239,bacterial vulvovaginitis
1240,nasal septum disorder
1241,epidermal necrosis
1242,dermatitis acneiform
1243,adenopathy syphilitic
1244,aphonia
1245,in vitro fertilisation
1246,retinal artery stenosis
1247,vascular stent insertion
1248,swollen tear duct
1249,pancreatic carcinoma non-resectable
1250,blood ketone body absent
1251,bronchial artery aneurysm
1252,neonatal respiratory alkalosis
1253,dacryocanaliculitis infective
1254,sinus cancer metastatic
1255,adrenal calcification
1256,vaginal burning sensation
1257,branchio-oto-renal syndrome
1258,ovarian failure
1259,serum serotonin decreased
1260,malignant ascites
1261,product caught fire
1262,pneumocystis carinii pneumonia
1263,follicle centre lymphoma diffuse small cell lymphoma
1264,left ventricular dilatation
1265,marginal zone lymphoma recurrent
1266,cyanosis
1267,herpes virus infection
1268,secondary hypothyroidism
1269,wrist deformity
1270,spleen operation
1271,ovarian perforation
1272,joint crepitation
1273,monarthritis
1274,heart transplant rejection
1275,postoperative renal failure
1276,human bite
1277,genital pain female
1278,ultrasound prostate abnormal
1279,orchitis
1280,penile blister
1281,sexual activity increased
1282,dissecting coronary artery aneurysm
1283,paradoxical pain
1284,renal hypertrophy
1285,vascular stent thrombosis
1286,vulvovaginal disorder
1287,nasal sinus cancer
1288,decreased interest
1289,specific gravity body fluid increased
1290,haemorrhoid operation
1291,epiglottic carcinoma
1292,sarcoma excision
1293,melanoma recurrent
1294,breath holding
1295,necrotising scleritis
1296,poems syndrome
1297,auscultation
1298,epicondylitis
1299,idh differentiation syndrome
1300,renal cell carcinoma
1301,duodenal sphincterotomy
1302,trichotillomania
1303,enterobacter pneumonia
1304,traumatic liver injury
1305,carcinoid tumour of the prostate
1306,gallbladder fistula
1307,adenoviral conjunctivitis
1308,sinus arrest
1309,neonatal exchange blood transfusion
1310,symmetrical drug-related intertriginous and flexural exanthema
1311,phobia of flying
1312,venous pressure jugular abnormal
1313,acquired claw toe
1314,congenital emphysema
1315,cleft lip and palate
1316,painful erection
1317,pleurothotonus
1318,arteriovenous fistula site complication
1319,compartment syndrome
1320,protein albumin ratio abnormal
1321,salpingo-oophorectomy unilateral
1322,gastritis erosive
1323,gastrointestinal examination abnormal
1324,meningoencephalitis herpetic
1325,retinal microaneurysms
1326,laryngeal mask airway insertion
1327,diffuse axonal injury
1328,rhabdomyosarcoma
1329,misophonia
1330,deafness permanent
1331,methylenetetrahydrofolate reductase polymorphism
1332,sense of oppression
1333,thyroxine increased
1334,penile prosthesis removal
1335,adult t-cell lymphoma/leukaemia stage iv
1336,adenosquamous carcinoma of the cervix
1337,extragonadal primary embryonal carcinoma
1338,complications of transplant surgery
1339,anterior spinal artery syndrome
1340,vanillyl mandelic acid urine increased
1341,parathyroid hormone-related protein increased
1342,choroid plexus carcinoma
1343,tooth development disorder
1344,nephropathy
1345,creatinine renal clearance
1346,odynophagia
1347,spinal fusion fracture
1348,genitals enlarged
1349,serum serotonin
1350,pseudofracture
1351,product label issue
1352,neuromuscular blockade reversal
1353,pseudomembranous colitis
1354,multiple cardiac defects
1355,blood testosterone free abnormal
1356,blood culture negative
1357,gallbladder non-functioning
1358,penile wart
1359,lens implant removal
1360,allergic myocarditis
1361,autoimmune myocarditis
1362,renal artery stent placement
1363,polyarteritis nodosa
1364,chemical burn of gastrointestinal tract
1365,serum ferritin increased
1366,nuclear magnetic resonance imaging thoracic
1367,eosinophilia
1368,ureteritis
1369,glaucoma surgery
1370,cystitis pseudomonal
1371,essential tremor
1372,hair plucking
1373,electrocardiogram pr shortened
1374,plasmin inhibitor increased
1375,spleen disorder
1376,stroke volume increased
1377,hypothalamic pituitary adrenal axis suppression
1378,rash pustular
1379,factor ii inhibition
1380,diabetes with hyperosmolarity
1382,haemorrhage in pregnancy
1383,hepatic neoplasm malignant recurrent
1384,diabetic neuropathy
1385,electroencephalogram abnormal
1386,blindness traumatic
1387,reaction to food additive
1388,human herpes virus 8 test positive
1389,intercepted medication error
1390,alpha tumour necrosis factor decreased
1391,stoma complication
1392,catatonia
1393,electrocardiogram delta waves abnormal
1394,coccygectomy
1395,gastrin secretion disorder
1396,rectal neoplasm
1397,tachycardia induced cardiomyopathy
1398,colon cancer stage 0
1399,free fatty acids increased
1400,syphilis test positive
1401,post procedural nausea
1402,leg amputation
1403,psychogenic tremor
1404,infective tenosynovitis
1405,antineutrophil cytoplasmic antibody increased
1406,anaphylactoid shock
1407,calculus urethral
1408,lack of injection site rotation
1409,postoperative hernia
1410,hiv peripheral neuropathy
1411,caudal regression syndrome
1412,pyroglutamate increased
1413,endodontic procedure
1414,trichosporon infection
1415,penile artery occlusion
1416,congenital cyst
1417,kidney duplex
1418,spinal cord injury lumbar
1419,otitis externa
1421,palatal dysplasia
1422,scrotal erythema
1423,csf hiv escape syndrome
1424,encephalitis enteroviral
1425,dysplastic naevus
1426,hypoplastic right heart syndrome
1427,red ear syndrome
1428,large intestine erosion
1429,lung infection pseudomonal
1430,bacteria sputum identified
1431,administration site dermatitis
1432,spinal cord injury sacral
1433,dependence on respirator
1434,cardiovascular function test abnormal
1435,wrist fracture
1436,cardiac stress test normal
1437,atrial septal defect
1438,nerve conduction studies abnormal
1439,pneumocephalus
1440,intra-ocular injection complication
1441,influenza immunisation
1442,potassium hydroxide preparation positive
1443,off label use of device
1444,pneumatosis intestinalis
1445,viraemia
1446,staphylococcal identification test negative
1447,conductive keratoplasty
1448,narcotic intoxication
1449,overconfidence
1450,hydrops foetalis
1451,emergency care
1452,astrovirus test positive
1453,colon cancer stage i
1454,semen liquefaction abnormal
1455,medical device site erosion
1456,congenital coagulopathy
1457,rheumatoid lung
1458,pyloromyotomy
1459,urethral caruncle
1460,vulval laceration
1461,olfactory nerve agenesis
1462,cervical bulla
1464, with postpartum onset
1465,electron radiation therapy
1466,epididymitis
1467,mature b-cell type acute leukaemia
1468,injection site necrosis
1469,removal of foreign body from larynx
1470,pelvic venous thrombosis
1471,rhinovirus infection
1472,bronchitis chronic
1473,aortic necrosis
1475,injury associated with device
1476,cerebral vasoconstriction
1477,gastroenteritis shigella
1478,renal arteriosclerosis
1479,toxoplasmosis
1480,renal failure neonatal
1481,suggestibility
1482,arteriovenous fistula site infection
1483,brugada syndrome
1484, erotomanic type
1485,cyclitic membrane
1486,splenic candidiasis
1487,mantle cell lymphoma recurrent
1488,sperm concentration
1489,amblyopia strabismic
1490,resuscitation
1491,demyelinating polyneuropathy
1492,mitochondrial myopathy
1493,sudden unexplained death in epilepsy
1494,pneumocystis jirovecii pneumonia
1495,local swelling
1496,asthma prophylaxis
1497,nervous system surgery
1498,injection site cellulitis
1499,meningitis enterococcal
1500,sputum test
1501,aortic valve replacement
1502,inflammatory marker decreased
1503,craniofacial dysostosis
1504,anastomotic stenosis
1505,venous perforation
1506,psychiatric symptom
1507,gastrointestinal mucosal disorder
1508,pachymeningitis
1510,vulvovaginal discomfort
1511,stool ph decreased
1512,thyroid cancer stage iv
1513,gastrointestinal infection
1514,choroidal rupture
1516,ligament disorder
1517,wedge resection toenail
1518,pulse waveform
1519,metastatic gastric cancer
1521,ventricular septal defect
1522,mumps antibody test negative
1523,catheter site warmth
1524,vertebrobasilar dolichoectasia
1525,abortion
1526,capillary permeability
1527,electrolyte depletion
1528,matrix metalloproteinase-3
1529,weaning failure
1530,congenital tongue anomaly
1531,middle ear adhesions
1533,degeneration of uterine fibroid
1534,pneumothorax traumatic
1535,right ventricular failure
1537,radiation interaction
1538,peritoneal fluid analysis abnormal
1539,radiation mucositis
1540,spigelian hernia
1541,myolipoma
1542,idiopathic orbital inflammation
1543,neurilemmoma benign
1544,glycogen storage disease type vii
1545,testicular seminoma (pure) stage ii
1546,omental infarction
1547,epiphysitis
1548,monocyte percentage decreased
1549,anal fissure excision
1550,neuroglycopenia
1551,waist circumference decreased
1552,late onset hypogonadism syndrome
1553,device loosening
1554,hypopharyngeal synechiae
1557,post procedural infection
1558,genital paraesthesia
1559,gastrointestinal telangiectasia
1560,serum ferritin
1561,blood uric acid abnormal
1562,protein c decreased
1563,radiation injury
1564,infusion site streaking
1565,pelvi-ureteric obstruction
1567,colorectal cancer stage iii
1568,ventricular parasystole
1569,sacral pain
1570,donor leukocyte infusion
1571,blood cholinesterase
1572,laryngeal obstruction
1573,peritoneal fluid analysis
1574,persistent foetal circulation
1575,pulmonary microemboli
1576,vesicoureteric reflux
1577,silicosis
1578,neurocysticercosis
1579,umbilical haemorrhage
1581,apallic syndrome
1582,monocyte count decreased
1583,colitis microscopic
1584,barbiturates
1585,complicated fracture
1586,aspergilloma
1587,cutaneous calcification
1589,hypertonia neonatal
1590,angiotensin i decreased
1591,gingival atrophy
1592,bone hyperpigmentation
1593,sputum culture positive
1594,scan parathyroid
1595,basophil percentage increased
1596,neurological complication associated with device
1597,mechanical ventilation complication
1598,subclavian artery occlusion
1599,bordetella infection
1600,stress
1601,pneumoconiosis
1602,lung adenocarcinoma stage iii
1603,adult polyglucosan body disease
1604,coagulation factor deficiency
1605,biliary ischaemia
1606,disease progression
1607,face and mouth x-ray
1608,thrombosis in device
1609,gastroenteritis salmonella
1610,haemodynamic test
1611,facial operation
1612,gallbladder obstruction
1613,pharyngeal cancer metastatic
1614,platelet count
1615,pallidotomy
1616,systolic dysfunction
1617,herpes simplex sepsis
1618,depressive delusion
1619,malignant oligodendroglioma
1620,antinuclear antibody negative
1621,maximum heart rate decreased
1622,vaginal cancer stage i
1623,neutrophilic dermatosis
1624,blood donor
1625,heart valve incompetence
1626,oesophagoscopy
1627,laboratory test
1628,epilepsy
1629,diabetic foot
1630,congenital hiv infection
1631,gastrostomy tube removal
1632,post abortion complication
1633,tissue injury
1634,vocal cord injection
1635,dialysis device insertion
1636,septal panniculitis
1637,imperforate oesophagus
1638,bone graft removal
1639,vascular access site inflammation
1640,alpha 1 microglobulin
1641,congenital malaria
1642,hypoglycaemia unawareness
1643,rehabilitation therapy
1644,cholecystocholangitis
1645,yawning
1646,blood homocysteine
1647,ear piercing
1648,reticulocyte haemoglobin equivalent
1649,implant site necrosis
1650,mycosis fungoides
1651,thymus abscess
1652,campylobacter sepsis
1653,glossoptosis
1654,gastric hypomotility
1655,inappropriate affect
1656,basilar artery thrombosis
1657,upper limb deformity
1658,maternal death affecting foetus
1659,application site rash
1660,retinal perivascular sheathing
1661,urine osmolarity increased
1662,blood bilirubin unconjugated decreased
1663,sinus disorder
1664,simplex virus test positive
1665,arteriopathic disease
1666,neuritis cranial
1667,hospice care
1668,locked-in syndrome
1669,muscle incision
1670,insomnia
1671,marginal zone lymphoma stage i
1672,product use in unapproved indication
1673,antiretroviral therapy
1674,chondrosarcoma metastatic
1675,eye rolling
1676,congenital melanocytic naevus
1677,vaginal cancer stage 0
1678,instillation site infection
1679,vascular encephalopathy
1680,psychotic symptom
1681,femoral artery aneurysm
1682,congenital aortic dilatation
1683,troponin
1684,occupational exposure to extreme temperature
1685,cardiac electrophysiologic study
1687,prophylaxis
1688,percussion test abnormal
1689,dna mismatch repair protein gene mutation
1690,pulmonary sarcoidosis
1691,oxygen saturation
1692,oral tuberculosis
1693,primary biliary cholangitis
1694,congenital lacrimal passage anomaly
